D,c0,alpha,a,D_ls_px,c0_ls_px,alpha_ls_px,D_ls_rc,c0_ls_rc,alpha_ls_rc,D_ls_nn,c0_ls_nn,alpha_ls_nn
1.2386014,0.75,0.7,0.05,1.2372782230377197,0.7500702738761902,0.701694130897522,1.2267063856124878,0.7519571781158447,0.7042040824890137,1.2539045810699463,0.7524181604385376,0.7067641019821167
1.2386014,0.75,0.7,0.05,1.233096957206726,0.7499207854270935,0.7014656662940979,1.225050449371338,0.7539135217666626,0.6990941762924194,1.2444138526916504,0.7572696208953857,0.7028499245643616
1.2386014,0.75,0.7,0.05,1.2408589124679565,0.7499340772628784,0.7004307508468628,1.2439724206924438,0.7496076226234436,0.7002522945404053,1.2408808469772339,0.7534928321838379,0.7008863091468811
1.2386014,0.75,0.7,0.05,1.2390159368515015,0.7500593662261963,0.7019012570381165,1.2326068878173828,0.7515665888786316,0.702898383140564,1.2535057067871094,0.753548800945282,0.69298255443573
1.2386014,0.75,0.7,0.05,1.2399520874023438,0.7501047253608704,0.7003899216651917,1.2517505884170532,0.7493686079978943,0.695815920829773,1.267267107963562,0.7568982839584351,0.6926670074462891
1.2386014,0.75,0.7,0.05,1.236100196838379,0.7500159740447998,0.7018725872039795,1.2327576875686646,0.7520935535430908,0.6998754143714905,1.260355830192566,0.753473699092865,0.6990483403205872
1.2386014,0.75,0.7,0.05,1.23934006690979,0.7499503493309021,0.6985206604003906,1.2438585758209229,0.7495764493942261,0.6960567831993103,1.246664047241211,0.7513723373413086,0.6969465017318726
1.2386014,0.75,0.7,0.05,1.2348401546478271,0.7500315308570862,0.7020535469055176,1.2398629188537598,0.7504644393920898,0.6992212533950806,1.2563217878341675,0.7571794986724854,0.6991442441940308
1.2386014,0.75,0.7,0.05,1.235560655593872,0.7499814033508301,0.7000829577445984,1.2529010772705078,0.745729923248291,0.6986643671989441,1.2529042959213257,0.7561289072036743,0.700112521648407
1.2386014,0.75,0.7,0.05,1.2385777235031128,0.7500572204589844,0.7010771632194519,1.238806962966919,0.7496823072433472,0.7013501524925232,1.2448327541351318,0.7531769871711731,0.6998980641365051
1.2386014,0.75,0.7,0.05,1.240875244140625,0.7500336170196533,0.6991989612579346,1.2493082284927368,0.7468932271003723,0.6996639370918274,1.257897138595581,0.7534376382827759,0.6942912340164185
1.2386014,0.75,0.7,0.05,1.233912467956543,0.7499677538871765,0.7019417881965637,1.2288628816604614,0.749626100063324,0.7037248611450195,1.2454261779785156,0.752178430557251,0.6993513703346252
